MachineID,MachineType,Temperature_C,Vibration_mm_s,Voltage_V,Current_A,Power_Consumption_kWh,Runtime_Hours,Failure_Status
M02585,Type_17,57.48,0.94,223.0,12.59,2.527,660.2,0
M02586,Type_11,74.31,1.26,219.9,4.7,0.93,496.2,1
M02587,Type_22,66.94,0.88,224.4,15.44,3.118,126.6,0
M02588,Type_14,48.59,2.47,226.0,16.37,3.33,873.5,0
M02589,Type_16,110.71,7.9,237.6,55.38,11.842,136.4,1
M02590,Type_07,64.07,1.36,222.8,41.8,8.382,700.3,1
M02591,Type_21,67.14,1.04,217.5,17.07,3.341,647.5,0
M02592,Type_24,60.53,2.72,220.4,17.97,3.565,313.3,0
M02593,Type_13,56.76,3.02,224.0,21.18,4.27,992.6,0
M02594,Type_10,60.45,2.55,222.1,14.18,2.834,147.5,0
M02595,Type_04,69.43,2.11,222.5,13.55,2.713,425.0,0
M02596,Type_21,73.04,1.78,216.5,15.21,2.964,442.6,0
M02597,Type_15,60.36,0.74,221.9,8.4,1.678,100.0,0
M02598,Type_17,63.14,2.42,213.1,13.14,2.52,908.1,0
M02599,Type_16,65.19,3.06,224.1,14.13,2.85,980.5,0
M02600,Type_08,76.64,1.15,215.4,52.23,10.125,341.9,1
M02601,Type_14,76.58,3.22,224.3,12.77,2.578,873.9,0
M02602,Type_21,54.68,2.14,224.4,16.83,3.399,407.3,0
M02603,Type_06,55.1,2.3,216.6,18.0,3.509,272.6,0
M02604,Type_03,69.21,3.57,225.1,16.33,3.308,749.1,0
M02605,Type_10,74.77,2.2,214.1,17.07,3.289,887.4,0
M02606,Type_23,75.9,0.65,221.5,16.52,3.293,386.3,0
M02607,Type_25,69.41,1.76,213.4,13.64,2.62,708.6,0
M02608,Type_19,62.07,0.1,211.8,15.96,3.042,504.5,0
M02609,Type_19,69.29,3.0,222.2,16.29,3.258,794.7,0
M02610,Type_15,61.23,0.74,218.7,39.32,7.739,522.9,1
M02611,Type_03,72.42,2.48,229.5,12.23,2.526,103.9,0
M02612,Type_09,59.78,3.84,218.8,17.23,3.393,958.1,0
M02613,Type_21,64.69,1.35,228.5,15.41,3.169,149.5,0
M02614,Type_11,52.99,1.46,225.4,14.98,3.039,65.7,0
M02615,Type_24,58.03,2.76,209.2,15.05,2.834,670.1,0
M02616,Type_14,75.82,2.85,219.9,14.17,2.804,308.1,0
M02617,Type_21,54.32,9.17,220.8,10.43,2.073,353.7,1
M02618,Type_16,66.6,0.1,222.6,14.98,3.001,641.2,0
M02619,Type_10,81.63,1.97,222.0,19.74,3.944,430.1,0
M02620,Type_10,64.54,0.1,225.4,14.55,2.952,261.7,0
M02621,Type_16,49.93,0.25,219.0,9.45,1.863,598.4,0
M02622,Type_03,72.09,3.4,217.1,16.9,3.302,412.5,0
M02623,Type_05,53.72,1.57,228.3,14.03,2.883,463.3,0
M02624,Type_23,80.62,2.75,218.5,14.78,2.906,463.5,0
M02625,Type_04,53.43,3.06,217.5,11.12,2.177,643.0,0
M02626,Type_12,57.42,3.04,221.1,14.82,2.949,539.4,0
M02627,Type_22,64.95,0.32,217.2,17.18,3.358,623.1,0
M02628,Type_19,61.96,1.92,217.7,17.59,3.446,688.7,0
M02629,Type_07,78.76,2.6,217.8,12.2,2.391,226.0,0
M02630,Type_18,59.76,2.95,219.1,11.28,2.224,424.7,0
M02631,Type_17,81.73,1.7,217.1,18.11,3.539,315.4,0
M02632,Type_17,67.7,2.53,221.7,17.65,3.522,437.7,0
M02633,Type_24,67.91,0.1,211.4,12.12,2.306,463.4,0
M02634,Type_10,66.04,0.75,222.4,19.19,3.841,434.6,0
M02635,Type_03,62.58,1.53,226.5,16.34,3.331,448.3,0
M02636,Type_24,74.52,1.27,231.8,16.44,3.43,139.3,1
M02637,Type_04,68.91,1.99,220.3,13.55,2.687,154.2,0
M02638,Type_02,74.29,2.7,213.9,18.17,3.498,580.7,0
M02639,Type_14,59.79,2.1,216.7,11.75,2.292,837.0,0
M02640,Type_04,62.52,0.18,221.1,13.81,2.748,865.3,0
M02641,Type_14,48.53,7.93,213.9,17.26,3.323,597.5,1
M02642,Type_25,69.12,0.75,225.8,18.34,3.727,426.3,0
M02643,Type_24,56.98,3.08,200.0,18.86,3.395,72.2,1
M02644,Type_10,69.17,2.09,214.6,14.23,2.748,836.0,0
M02645,Type_08,59.05,2.65,210.1,20.08,3.797,842.1,0
M02646,Type_01,51.98,1.42,223.1,17.45,3.504,444.1,0
M02647,Type_01,81.03,1.97,219.9,13.77,2.725,531.3,0
M02648,Type_12,55.66,3.52,200.0,16.1,2.898,702.1,1
M02649,Type_25,64.63,1.5,216.8,13.71,2.675,840.6,0
M02650,Type_11,64.95,1.63,225.2,17.38,3.523,811.7,0
M02651,Type_01,71.33,7.08,224.4,13.08,2.642,872.8,1
M02652,Type_08,58.62,0.96,216.2,16.61,3.232,267.4,0
M02653,Type_14,52.15,1.02,220.9,14.42,2.867,927.7,0
M02654,Type_05,77.19,2.07,220.1,12.81,2.538,634.4,0
M02655,Type_09,57.13,2.75,221.2,16.51,3.287,312.8,0
M02656,Type_19,73.39,1.67,222.0,11.01,2.2,355.7,0
M02657,Type_08,75.16,2.4,218.3,13.24,2.601,602.0,0
M02658,Type_11,61.99,2.06,211.7,9.88,1.882,696.6,0
M02659,Type_04,69.95,1.5,224.4,14.45,2.918,747.2,0
M02660,Type_24,65.62,2.71,214.4,19.28,3.72,207.9,0
M02661,Type_05,63.21,2.26,221.6,14.77,2.946,938.7,0
M02662,Type_24,81.55,1.85,222.7,16.8,3.367,537.1,1
M02663,Type_23,71.96,2.35,220.9,18.36,3.65,730.8,0
M02664,Type_23,59.65,3.18,213.7,19.93,3.833,82.5,0
M02665,Type_13,56.11,1.06,222.1,18.01,3.6,709.0,0
M02666,Type_20,69.12,1.75,214.4,15.11,2.916,683.4,0
M02667,Type_04,82.42,3.68,217.4,14.1,2.759,581.6,1
M02668,Type_24,78.21,2.46,228.9,19.16,3.947,976.3,0
M02669,Type_23,62.64,0.97,214.1,16.77,3.231,701.1,0
M02670,Type_03,63.58,10.61,217.0,20.2,3.945,903.2,1
M02671,Type_12,69.61,0.95,226.1,12.32,2.507,780.9,0
M02672,Type_01,59.52,2.92,215.4,10.29,1.995,571.0,0
M02673,Type_22,57.05,2.35,223.7,13.91,2.801,52.8,0
M02674,Type_19,54.24,2.0,221.8,10.68,2.132,117.7,0
M02675,Type_15,55.78,2.97,220.8,16.12,3.203,596.1,0
M02676,Type_10,78.3,3.59,211.6,13.51,2.573,847.5,0
M02677,Type_11,75.97,1.79,222.1,19.13,3.824,466.0,0
M02678,Type_20,71.76,2.26,222.5,12.75,2.553,711.0,0
M02679,Type_09,70.67,2.17,214.4,17.3,3.338,914.4,0
M02680,Type_12,68.24,0.7,221.3,16.38,3.262,805.6,0
M02681,Type_07,66.51,0.1,218.7,19.15,3.769,90.0,0
M02682,Type_23,71.83,2.07,215.7,13.85,2.689,557.0,0
M02683,Type_16,71.48,0.97,229.5,15.09,3.117,403.6,0
M02684,Type_21,67.59,2.79,214.6,14.0,2.704,194.8,0
M02685,Type_07,57.71,2.27,217.1,9.45,1.846,291.8,0
M02686,Type_01,79.21,1.87,221.9,14.79,2.954,174.2,0
M02687,Type_13,58.42,0.56,216.4,11.8,2.298,161.0,0
M02688,Type_04,70.35,1.87,227.9,17.2,3.528,982.1,0
M02689,Type_19,43.5,3.33,223.4,17.21,3.46,608.2,0
M02690,Type_21,45.63,3.78,215.7,13.49,2.619,901.6,0
M02691,Type_12,61.3,2.06,225.1,16.52,3.347,548.7,0
M02692,Type_17,67.67,1.86,215.3,16.46,3.189,754.7,0
M02693,Type_13,85.86,2.86,216.3,14.32,2.788,863.9,0
M02694,Type_08,53.56,2.28,215.9,12.67,2.462,300.2,0
M02695,Type_05,75.37,3.03,218.8,10.83,2.133,141.5,0
M02696,Type_11,61.03,2.06,209.2,8.47,1.595,769.4,1
M02697,Type_25,71.29,2.45,223.7,14.01,2.821,558.5,0
M02698,Type_02,79.38,0.1,219.6,14.18,2.803,122.2,0
M02699,Type_15,49.66,1.0,219.4,12.81,2.529,118.7,0
M02700,Type_10,55.28,2.41,206.1,8.63,1.601,702.3,0
M02701,Type_16,68.31,3.13,222.0,12.37,2.472,392.8,0
M02702,Type_02,49.59,4.0,211.6,16.94,3.226,307.2,0
M02703,Type_25,59.29,1.88,225.3,13.17,2.67,684.5,0
M02704,Type_18,56.55,0.42,219.1,8.64,1.704,310.1,1
M02705,Type_04,58.02,2.04,220.9,15.39,3.06,593.8,0
M02706,Type_25,80.44,1.74,213.0,15.19,2.912,750.1,0
M02707,Type_14,48.87,3.32,218.6,17.47,3.437,301.1,0
M02708,Type_07,62.98,1.33,222.3,14.45,2.891,731.1,0
M02709,Type_15,60.7,1.1,228.5,9.59,1.972,981.1,0
M02710,Type_13,59.89,1.41,226.8,14.82,3.025,190.5,0
M02711,Type_06,67.71,3.61,224.9,19.06,3.858,376.8,0
M02712,Type_03,58.96,1.6,227.2,55.7,11.39,461.7,1
M02713,Type_22,78.26,1.06,218.8,17.71,3.487,659.9,0
M02714,Type_13,60.88,2.17,224.4,14.68,2.965,750.7,0
M02715,Type_25,71.21,2.76,217.1,17.18,3.357,559.4,0
M02716,Type_09,58.79,2.93,218.1,15.88,3.117,992.2,0
M02717,Type_24,62.32,1.77,216.9,13.31,2.598,174.1,0
M02718,Type_21,51.71,3.42,219.9,17.14,3.392,850.6,0
M02719,Type_16,79.74,2.81,213.5,16.85,3.238,495.2,0
M02720,Type_24,45.74,0.1,222.0,12.4,2.478,253.0,0
M02721,Type_20,85.42,3.49,229.9,15.24,3.153,416.9,0
M02722,Type_25,70.21,2.07,222.3,14.52,2.905,337.1,0
M02723,Type_11,84.23,1.35,213.5,14.21,2.73,367.9,0
M02724,Type_17,66.56,2.79,220.9,14.32,2.847,792.1,0
M02725,Type_24,70.71,1.28,215.2,17.19,3.329,956.3,0
M02726,Type_11,47.83,0.28,221.3,12.61,2.512,290.4,0
M02727,Type_03,56.1,1.34,216.0,17.58,3.418,630.6,0
M02728,Type_19,82.47,0.71,220.3,18.45,3.658,356.7,0
M02729,Type_19,63.52,1.76,220.4,15.41,3.057,811.0,0
M02730,Type_09,41.42,2.58,216.2,17.84,3.471,703.4,0
M02731,Type_22,62.52,2.55,220.5,11.55,2.292,481.6,0
M02732,Type_19,63.13,1.51,215.4,16.33,3.166,539.0,0
M02733,Type_20,72.74,3.36,212.5,11.3,2.161,710.6,0
M02734,Type_06,70.78,1.19,211.0,17.63,3.348,133.5,0
M02735,Type_15,63.37,2.32,222.5,18.46,3.697,257.9,0
M02736,Type_16,66.91,3.73,219.7,15.02,2.97,178.6,0
M02737,Type_18,69.25,3.21,222.3,17.91,3.583,627.0,0
M02738,Type_14,79.37,1.57,218.8,13.36,2.631,488.4,0
M02739,Type_02,68.83,3.41,227.4,16.89,3.457,63.5,0
M02740,Type_10,60.74,1.23,215.3,14.05,2.722,859.8,0
M02741,Type_20,75.21,1.44,214.8,13.23,2.558,970.8,0
M02742,Type_23,69.74,1.47,213.8,14.17,2.727,817.2,0
M02743,Type_14,63.08,0.57,200.2,20.79,3.746,169.6,1
M02744,Type_15,78.72,2.63,222.0,16.27,3.251,452.9,0
M02745,Type_05,49.66,3.71,218.4,13.31,2.616,478.0,0
M02746,Type_25,52.89,0.86,224.4,16.38,3.308,211.7,0
M02747,Type_04,67.55,0.2,220.4,21.14,4.193,717.8,0
M02748,Type_12,56.96,4.73,214.6,9.18,1.773,201.7,1
M02749,Type_10,55.02,1.48,223.9,16.35,3.295,318.7,0
M02750,Type_23,68.73,3.28,211.0,16.65,3.162,621.0,0
M02751,Type_04,84.14,2.46,212.6,15.16,2.901,392.6,1
M02752,Type_09,64.98,2.75,220.6,18.16,3.605,628.2,0
M02753,Type_24,60.98,2.2,219.4,17.59,3.473,930.7,0
M02754,Type_15,52.54,1.87,224.5,12.95,2.617,231.6,0
M02755,Type_01,68.28,2.8,219.1,10.1,1.992,312.2,0
M02756,Type_22,53.67,0.18,214.3,16.85,3.25,277.3,0
M02757,Type_23,53.25,0.29,225.0,20.27,4.105,776.2,0
M02758,Type_22,69.43,1.27,216.5,15.0,2.923,877.2,0
M02759,Type_25,56.89,3.02,218.8,12.05,2.373,102.0,0
M02760,Type_17,81.06,4.29,223.8,14.75,2.971,982.2,0
M02761,Type_23,62.06,0.1,216.3,15.32,2.982,267.4,0
M02762,Type_10,66.84,0.75,222.7,18.53,3.714,531.7,0
M02763,Type_25,62.24,0.1,218.5,21.86,4.299,89.1,0
M02764,Type_24,76.24,2.09,223.8,22.79,4.59,107.0,0
M02765,Type_11,72.73,3.31,226.7,12.82,2.616,343.1,0
M02766,Type_04,86.42,2.17,215.0,17.37,3.361,79.2,1
M02767,Type_05,77.36,1.33,224.5,16.44,3.322,620.2,0
M02768,Type_01,64.92,2.44,221.8,25.37,5.064,143.3,0
M02769,Type_05,70.24,0.35,220.2,7.77,1.54,805.6,1
M02770,Type_19,75.76,1.48,217.7,19.11,3.744,299.0,0
M02771,Type_17,68.43,2.71,227.1,18.9,3.863,261.8,0
M02772,Type_02,75.96,2.2,200.0,16.19,2.914,103.5,1
M02773,Type_03,65.79,1.34,217.3,11.42,2.233,951.8,0
M02774,Type_15,80.31,0.6,213.7,14.71,2.829,185.9,0
M02775,Type_08,61.96,0.42,219.5,14.67,2.898,846.8,0
M02776,Type_10,93.13,0.98,213.8,17.19,3.308,572.2,0
M02777,Type_05,61.02,1.15,222.2,5.85,1.17,314.3,1
M02778,Type_14,64.25,0.44,221.4,13.66,2.722,252.8,0
M02779,Type_17,69.49,2.59,231.3,17.19,3.578,78.1,0
M02780,Type_02,61.71,2.57,222.4,18.28,3.659,797.0,0
M02781,Type_23,61.99,2.04,215.6,17.31,3.359,143.3,0
M02782,Type_10,59.88,1.86,217.3,11.55,2.259,597.1,0
M02783,Type_25,67.28,0.84,237.2,14.77,3.153,143.1,1
M02784,Type_12,53.99,1.68,220.9,13.07,2.598,342.9,0
M02785,Type_16,69.23,1.89,223.2,18.77,3.771,419.8,0
M02786,Type_19,64.18,3.01,222.2,10.38,2.076,624.4,0
M02787,Type_23,54.93,2.71,216.5,19.19,3.739,364.4,0
M02788,Type_25,57.6,1.38,218.4,17.81,3.501,718.7,0
M02789,Type_15,62.92,2.91,220.6,17.26,3.427,357.4,0
M02790,Type_13,70.28,1.76,220.5,17.5,3.473,237.1,0
M02791,Type_15,48.89,2.27,221.0,14.19,2.822,98.5,0
M02792,Type_01,64.35,4.09,215.4,20.61,3.995,153.0,0
M02793,Type_25,114.58,10.33,244.5,47.35,10.419,849.7,1
M02794,Type_20,73.68,1.42,227.6,13.41,2.747,51.4,0
M02795,Type_19,61.72,1.93,218.7,13.99,2.754,504.9,0
M02796,Type_24,58.89,1.82,210.2,18.9,3.576,477.2,0
M02797,Type_07,76.28,1.95,227.8,11.64,2.386,503.5,0
M02798,Type_03,50.73,1.02,214.4,16.59,3.201,894.9,0
M02799,Type_01,64.77,2.68,213.8,17.13,3.296,132.6,0
M02800,Type_17,64.53,1.21,215.0,14.59,2.823,767.5,0
M02801,Type_17,61.06,0.14,227.7,14.35,2.941,721.2,0
M02802,Type_14,58.12,0.85,225.0,10.15,2.055,470.5,0
M02803,Type_13,66.62,1.55,219.8,14.03,2.775,806.2,0
M02804,Type_17,54.85,0.88,217.2,17.05,3.333,988.4,0
M02805,Type_17,63.35,2.28,228.6,19.99,4.113,823.3,0
M02806,Type_20,61.15,3.6,221.7,14.76,2.945,994.8,0
M02807,Type_02,82.28,1.88,211.6,15.25,2.904,717.8,1
M02808,Type_06,84.1,1.57,227.4,15.55,3.182,85.1,0
M02809,Type_06,66.85,0.87,219.0,19.62,3.867,126.5,0
M02810,Type_22,60.53,0.1,219.7,16.96,3.354,928.2,0
M02811,Type_06,68.74,1.61,226.0,18.91,3.846,365.5,0
M02812,Type_25,80.14,3.43,218.9,15.35,3.024,867.4,0
M02813,Type_07,65.68,2.41,223.2,12.87,2.585,866.0,0
M02814,Type_14,66.64,1.26,223.0,14.19,2.848,524.1,0
M02815,Type_12,69.75,1.01,220.2,15.92,3.155,76.9,0
M02816,Type_18,74.73,0.36,201.7,14.69,2.667,136.5,1
M02817,Type_03,50.12,2.34,221.3,9.69,1.93,758.6,0
M02818,Type_12,62.58,1.12,224.6,15.13,3.058,894.5,0
M02819,Type_08,75.74,0.35,217.2,16.14,3.155,711.1,0
M02820,Type_16,79.84,2.4,215.4,18.7,3.625,216.8,0
M02821,Type_18,83.77,2.07,219.6,8.48,1.676,556.0,1
M02822,Type_09,75.39,4.42,227.0,13.54,2.766,872.0,0
M02823,Type_09,73.85,3.37,215.8,13.61,2.643,836.1,0
M02824,Type_23,50.2,2.19,225.1,15.92,3.225,733.2,0
M02825,Type_06,59.09,2.35,210.4,15.57,2.948,251.4,0
M02826,Type_10,69.35,2.63,223.4,14.31,2.877,362.6,0
M02827,Type_18,69.03,2.65,218.4,16.98,3.338,806.7,0
M02828,Type_14,56.14,2.51,222.5,16.64,3.332,645.3,0
M02829,Type_18,80.41,0.34,219.3,20.81,4.107,268.6,0
M02830,Type_16,66.31,2.02,227.4,17.19,3.518,425.2,0
M02831,Type_06,68.79,1.98,217.4,17.77,3.477,866.9,0
M02832,Type_22,61.52,0.1,217.4,10.57,2.068,592.9,0
M02833,Type_20,113.98,3.44,210.3,15.57,2.947,913.1,1
M02834,Type_16,54.74,0.7,218.9,17.22,3.393,693.9,0
M02835,Type_01,59.62,0.56,217.8,14.39,2.821,841.3,0
M02836,Type_04,44.53,3.36,211.3,14.09,2.679,413.9,0
M02837,Type_09,61.07,1.32,217.8,11.74,2.301,152.0,0
M02838,Type_14,76.44,4.14,213.5,15.56,2.99,650.0,0
M02839,Type_02,61.88,1.3,219.0,6.37,1.256,402.3,1
M02840,Type_09,70.56,2.16,235.4,17.26,3.657,619.8,0
M02841,Type_10,55.48,0.52,217.8,16.45,3.225,816.4,0
M02842,Type_08,58.45,1.91,219.5,14.02,2.77,390.6,0
M02843,Type_17,75.92,1.89,225.0,5.89,1.193,351.9,1
M02844,Type_17,44.81,1.9,221.8,12.69,2.533,369.3,0
M02845,Type_04,85.78,1.82,224.9,17.96,3.635,333.3,1
M02846,Type_14,73.63,2.95,227.0,17.75,3.626,506.8,0
M02847,Type_25,53.14,1.39,221.1,17.03,3.389,405.6,0
M02848,Type_22,69.64,2.0,212.9,19.3,3.698,742.7,0
M02849,Type_15,79.75,1.48,218.6,14.95,2.941,521.6,0
M02850,Type_22,75.93,1.17,225.1,21.6,4.376,368.7,0
M02851,Type_08,68.35,2.83,220.3,16.32,3.236,246.6,0
M02852,Type_14,75.31,1.54,221.6,13.34,2.661,657.1,0
M02853,Type_21,71.36,2.37,222.9,14.66,2.941,965.4,0
M02854,Type_10,50.52,1.84,220.3,9.56,1.895,324.0,0
M02855,Type_17,60.22,2.72,214.4,14.19,2.738,164.6,0
M02856,Type_22,67.74,0.61,221.8,20.71,4.134,779.0,0
M02857,Type_25,43.47,0.49,220.9,15.83,3.147,706.9,0
M02858,Type_15,64.69,2.67,224.7,15.21,3.076,599.9,0
M02859,Type_24,84.64,0.73,216.0,19.43,3.777,378.8,1
M02860,Type_07,69.04,0.68,227.9,14.85,3.046,479.2,0
M02861,Type_06,71.54,1.42,226.1,18.12,3.687,280.6,0
M02862,Type_13,63.5,1.68,217.6,18.99,3.719,109.0,0
M02863,Type_08,67.64,2.38,219.0,15.81,3.116,474.6,0
M02864,Type_21,58.85,0.55,219.1,16.07,3.169,668.7,0
M02865,Type_10,66.42,1.16,218.7,14.63,2.88,837.4,0
M02866,Type_15,49.72,1.39,210.7,15.67,2.972,328.3,0
M02867,Type_18,61.01,2.68,224.1,10.53,2.124,668.6,0
M02868,Type_09,73.31,2.62,227.2,10.88,2.225,375.6,0
M02869,Type_01,59.52,2.07,224.1,13.22,2.666,973.9,0
M02870,Type_13,50.05,2.62,215.3,17.93,3.474,683.4,0
M02871,Type_17,62.27,1.48,223.1,17.41,3.496,103.0,0
M02872,Type_18,58.65,2.61,217.1,13.71,2.679,893.8,0
M02873,Type_12,69.74,3.08,224.2,12.41,2.504,624.7,0
M02874,Type_06,61.14,0.42,241.6,12.53,2.725,612.2,1
M02875,Type_11,47.32,0.1,223.5,16.39,3.297,530.2,0
M02876,Type_14,46.62,0.29,224.8,14.94,3.023,301.2,0
M02877,Type_23,62.4,3.09,228.5,13.51,2.778,696.3,0
M02878,Type_09,64.97,1.0,224.4,8.17,1.65,561.1,1
M02879,Type_22,58.56,4.3,228.1,12.17,2.498,162.6,0
M02880,Type_19,48.71,0.86,223.7,15.57,3.135,696.3,0
M02881,Type_07,72.24,2.17,218.6,11.76,2.314,413.6,0
M02882,Type_17,52.1,4.46,212.4,14.94,2.856,879.1,0
M02883,Type_19,64.75,2.5,225.3,55.82,11.319,501.2,1
M02884,Type_04,66.96,2.48,223.3,19.03,3.824,421.2,0
M02885,Type_11,56.03,0.8,212.3,10.7,2.044,936.0,0
M02886,Type_13,75.21,1.92,220.6,17.31,3.437,218.2,0
M02887,Type_15,77.91,1.4,217.1,17.77,3.472,882.3,0
M02888,Type_13,62.61,2.93,213.6,15.81,3.039,464.1,0
M02889,Type_13,64.73,0.74,216.3,16.47,3.206,396.7,0
M02890,Type_20,84.38,0.49,215.1,14.48,2.803,135.6,0
M02891,Type_14,67.96,3.12,226.6,19.21,3.918,435.7,0
M02892,Type_25,68.01,2.16,219.2,12.65,2.496,346.3,0
M02893,Type_17,70.26,3.39,224.5,15.5,3.132,177.2,0
M02894,Type_11,65.89,0.1,211.7,14.72,2.805,949.5,0
M02895,Type_02,83.12,3.28,226.3,17.44,3.552,582.0,1
M02896,Type_06,76.55,0.46,218.7,20.96,4.126,571.3,0
M02897,Type_04,54.27,1.18,214.2,18.34,3.536,279.7,0
M02898,Type_20,61.78,1.79,221.4,15.9,3.168,954.0,0
M02899,Type_03,61.42,1.85,224.5,8.75,1.768,840.7,0
M02900,Type_19,54.8,1.16,217.2,15.15,2.962,228.8,0
M02901,Type_16,75.39,3.19,214.7,17.35,3.353,545.1,0
M02902,Type_02,70.81,2.23,215.4,16.85,3.267,150.2,0
M02903,Type_23,71.57,1.46,224.8,11.96,2.42,413.7,0
M02904,Type_25,65.23,3.82,220.9,16.19,3.219,509.9,0
M02905,Type_06,58.87,1.75,209.2,17.28,3.253,71.7,0
M02906,Type_02,63.69,3.52,218.2,13.18,2.588,73.2,0
M02907,Type_15,66.71,2.12,223.2,12.53,2.517,923.4,0
M02908,Type_19,51.62,2.07,213.8,11.96,2.301,288.0,0
M02909,Type_06,66.31,2.45,215.2,17.37,3.364,399.2,0
M02910,Type_01,76.61,2.01,217.6,15.67,3.069,895.0,0
M02911,Type_12,58.94,2.63,218.5,13.2,2.596,382.5,0
M02912,Type_15,75.01,1.51,227.5,15.8,3.235,690.2,0
M02913,Type_14,53.67,0.7,222.2,16.37,3.274,740.4,0
M02914,Type_09,44.64,3.6,230.3,14.46,2.997,465.1,0
M02915,Type_03,47.13,1.8,217.2,9.07,1.773,230.1,0
M02916,Type_11,76.26,3.06,218.6,12.29,2.418,641.8,0
M02917,Type_20,59.31,3.71,220.7,16.4,3.258,792.4,0
M02918,Type_10,56.38,0.1,224.6,19.39,3.919,209.8,0
M02919,Type_14,73.89,2.48,227.4,18.09,3.702,362.5,0
M02920,Type_20,56.1,2.89,211.6,12.91,2.459,501.1,0
M02921,Type_06,69.7,3.07,221.8,12.04,2.403,776.4,0
M02922,Type_11,75.13,3.39,217.8,19.48,3.818,314.5,0
M02923,Type_11,54.05,1.26,213.8,19.36,3.725,83.3,0
M02924,Type_16,37.62,1.33,219.6,20.36,4.024,399.5,0
M02925,Type_14,70.95,1.49,216.8,17.69,3.452,413.3,0
M02926,Type_08,68.58,4.31,224.7,11.08,2.241,104.0,0
M02927,Type_18,68.47,1.07,216.2,8.72,1.697,147.4,1
M02928,Type_08,47.46,3.52,223.6,16.15,3.25,214.2,0
M02929,Type_20,74.42,0.69,216.4,39.66,7.724,896.9,1
M02930,Type_20,72.99,3.72,211.1,18.33,3.483,162.3,0
M02931,Type_11,76.43,2.8,219.9,15.17,3.002,293.5,0
M02932,Type_12,69.91,0.9,221.2,17.09,3.402,614.8,0
M02933,Type_12,71.03,0.95,218.6,9.66,1.901,636.5,0
M02934,Type_05,78.7,1.47,232.9,14.7,3.081,621.6,0
M02935,Type_23,60.65,0.1,212.5,17.21,3.291,118.3,0
M02936,Type_07,78.84,1.93,220.0,37.65,7.455,897.0,1
M02937,Type_19,53.02,2.2,222.6,16.4,3.286,404.4,0
M02938,Type_01,78.47,3.18,216.0,11.26,2.189,107.5,0
M02939,Type_18,67.49,2.3,214.5,16.49,3.183,608.3,0
M02940,Type_22,74.39,2.03,225.1,12.97,2.628,295.8,0
M02941,Type_20,44.99,0.59,222.4,14.06,2.814,347.2,0
M02942,Type_23,67.17,2.34,215.1,16.2,3.136,281.2,0
M02943,Type_03,81.96,0.9,221.2,22.52,4.483,554.3,1
M02944,Type_13,74.5,3.06,220.2,13.17,2.61,318.4,0
M02945,Type_25,76.79,2.18,218.5,11.38,2.238,218.6,0
M02946,Type_14,117.1,10.0,238.1,54.97,11.78,948.9,1
M02947,Type_02,51.32,2.65,213.3,16.23,3.116,339.7,0
M02948,Type_01,48.02,3.69,227.3,14.53,2.972,192.9,0
M02949,Type_12,64.2,1.68,218.5,8.56,1.683,544.9,0
M02950,Type_03,71.33,1.47,221.8,14.85,2.964,888.5,0
M02951,Type_10,65.12,3.78,226.6,18.32,3.736,698.6,0
M02952,Type_03,68.75,2.29,225.8,13.25,2.693,808.6,0
M02953,Type_16,93.31,2.37,217.1,14.21,2.776,721.4,0
M02954,Type_19,68.43,2.0,219.5,15.66,3.094,413.7,0
M02955,Type_08,88.02,0.45,220.8,12.4,2.464,799.4,0
M02956,Type_20,40.59,2.71,221.3,14.42,2.872,205.7,0
M02957,Type_09,66.59,1.5,226.4,14.14,2.881,252.2,0
M02958,Type_15,71.49,2.61,218.4,13.89,2.73,443.2,0
M02959,Type_19,66.0,2.34,224.9,13.23,2.678,790.1,0
M02960,Type_15,66.05,0.7,211.8,10.88,2.074,676.8,0
M02961,Type_14,56.5,0.1,210.2,14.57,2.756,516.8,0
M02962,Type_20,68.37,0.88,219.3,11.67,2.303,431.8,0
M02963,Type_24,67.06,2.14,218.9,17.24,3.396,303.5,0
M02964,Type_07,61.18,0.41,226.8,20.22,4.127,894.5,0
M02965,Type_06,56.36,0.38,214.3,14.18,2.735,952.8,0
M02966,Type_15,60.99,0.52,225.3,19.08,3.869,715.9,0
M02967,Type_14,76.8,1.7,220.4,12.37,2.454,810.1,0
M02968,Type_23,80.46,0.44,202.3,13.85,2.522,880.1,0
M02969,Type_25,114.18,9.59,243.4,43.18,9.459,344.8,1
M02970,Type_10,63.77,2.24,216.3,11.59,2.256,921.5,0
M02971,Type_10,58.1,1.68,223.2,13.1,2.632,977.2,0
M02972,Type_07,88.07,3.29,208.2,14.21,2.663,862.4,0
M02973,Type_05,58.87,0.91,227.7,8.48,1.738,175.1,1
M02974,Type_11,68.49,2.12,212.2,18.03,3.443,353.3,0
M02975,Type_06,57.06,2.72,225.5,22.7,4.607,674.8,0
M02976,Type_21,63.95,0.39,216.4,15.55,3.029,966.4,0
M02977,Type_10,62.72,3.77,229.5,16.73,3.456,367.8,0
M02978,Type_17,80.12,1.61,216.9,13.62,2.659,747.4,0
M02979,Type_22,73.69,0.1,217.3,9.98,1.952,868.4,0
M02980,Type_13,67.92,1.21,219.7,15.07,2.98,756.2,0
M02981,Type_05,124.21,2.13,223.6,17.92,3.606,439.8,1
M02982,Type_17,55.73,2.71,221.6,21.65,4.318,955.3,0
